brand,type,transmission,drivetype,fueltype,year,fueleconomy,kilometers,price,bodytype,doors,seats
Toyota,USED,Automatic,Front,Unleaded,2014,7.4,139245,21990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2017,9,183080,33990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2018,7.6,119205,23990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Hybrid,2020,4.7,56630,57888,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,Front,Hybrid,2022,4.7,3592,59990,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2018,9.1,94695,37990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2018,7.6,36861,25990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2021,6.5,13014,43995,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2020,7.6,60344,25999,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2019,9.1,62183,37900,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2020,7.6,94346,23887,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2013,5.8,166183,16990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2018,9.3,84326,46990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2016,7.4,97354,20990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2019,4.8,78854,43888,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2019,7.6,50765,26990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2021,7.6,46652,26888,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,4WD,Diesel,2021,7.9,48479,83887,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,4WD,Diesel,2015,10.3,111568,99999,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Premium,2019,6.4,59750,33900,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2020,7.2,92585,26990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2020,7.3,39765,27290,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2022,4.8,10702,69999,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,4WD,Diesel,2019,8,102054,59990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,AWD,Unleaded,2018,9.5,59872,49790,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Unleaded,2015,10.2,108635,34995,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2020,7.6,59931,25290,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2019,7.6,102196,19999,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2021,5.6,31262,69990,SUV, 5 Doors, 7 Seats
Toyota,USED,Automatic,4WD,Diesel,2017,8,218851,42990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,AWD,Diesel,2016,5.8,67710,28990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Unleaded,2021,5.4,22619,39888,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Hybrid,2022,4.7,18838,63490,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,Front,Hybrid,2021,4.7,23734,57990,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2020,4.8,61531,45888,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Diesel,2017,6.5,114206,33999,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2017,7.4,140105,26990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2018,7.4,81804,31990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Hybrid,2021,4.7,26758,48990,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,AWD,Unleaded,2016,7.5,105012,21950,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Premium,2021,8.8,17910,56880,SUV, 5 Doors, 7 Seats
Toyota,USED,Automatic,Front,Hybrid,2020,3.8,55929,32990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Diesel,2015,8.6,65605,44990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Unleaded,2019,7,70093,34800,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2022,5.6,46011,77777,SUV, 5 Doors, 7 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2018,8,73958,44990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2013,6.6,141211,14984,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Premium,2017,5.6,64566,29999,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2019,4.8,42797,53888,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2018,9.1,122793,37880,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,4WD,Diesel,2017,8,103842,64888,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,4WD,Diesel,2018,8,97540,72990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,AWD,Unleaded,2014,7.5,124230,18888,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,AWD,Hybrid,2021,5.6,11653,69995,SUV, 5 Doors, 7 Seats
Toyota,USED,Automatic,AWD,Hybrid,2021,4.8,4801,67999,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2015,7.4,86713,16800,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2022,4.8,7501,68777,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2021,5.4,9660,41888,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,4WD,Diesel,2019,9.5,57352,124990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2014,9,140057,33888,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2018,6.8,81579,24900,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,4WD,Diesel,2018,9.5,181769,95950,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Hybrid,2020,4.7,57695,51490,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2015,9.8,158460,26990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Hybrid,2019,4.7,50290,56990,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2016,9,180163,30990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2020,7.6,53429,26999,SUV, 4 Doors, 5 Seats
Toyota,USED,Manual,4WD,Diesel,2014,11.9,46097,89990,SUV, 2 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2014,7.6,220912,12990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Hybrid,2022,3.8,15003,38990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2021,6,21609,49888,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2015,5.8,159086,17880,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2018,7.3,96582,25999,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2019,4.8,79828,48990,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2018,7.6,68580,24999,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2020,6.5,124031,31999,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2013,7.9,126201,21880,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,AWD,Unleaded,2020,7.2,54667,28900,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Hybrid,2022,4.7,6988,59888,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,Front,Premium,2019,5.5,82259,30990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2017,8,99473,42990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2019,7.6,47694,26990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2020,4.8,59864,45990,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2022,6,9604,45990,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,AWD,Diesel,2013,5.8,179499,16950,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,4WD,Diesel,2016,9.5,154422,82845,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2017,8,110971,39888,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Unleaded,2013,7.4,252383,12990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2018,9,126807,39990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,AWD,Unleaded,2018,8.5,132928,31888,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2015,9,276523,27995,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Unleaded,2019,9.1,75535,39888,SUV, 4 Doors, 7 Seats
Toyota,USED,Manual,AWD,Diesel,2014,6.5,173129,19990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Premium,2017,6.4,41820,28990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2018,9,101260,39900,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,4WD,Diesel,2015,8,185077,46950,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2017,6.6,46245,27990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2016,7.4,122351,25990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,4WD,Diesel,2016,9.5,161744,89990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,4WD,Diesel,2015,8.5,323847,32990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Hybrid,2022,4.8,398,56888,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,4WD,Diesel,2018,8,149158,49999,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,AWD,Unleaded,2017,8.5,119289,29990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,AWD,Hybrid,2017,1.9,38597,43990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2016,7.4,108026,19990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2022,4.8,23212,56990,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,Front,Hybrid,2020,3.8,56859,32777,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2019,8,53477,39990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2016,9,142136,32500,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,AWD,Hybrid,2021,4.8,34221,64990,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Unleaded,2017,9.5,138667,37990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2020,7.6,58132,24990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2018,9.1,49156,39990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,AWD,Unleaded,2020,7.2,56495,28888,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2013,6.6,187716,15989,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2021,5.6,58455,59888,SUV, 5 Doors, 7 Seats
Toyota,USED,Automatic,AWD,Hybrid,2019,4.8,136608,44888,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2017,8,110720,35999,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,4WD,Diesel,2019,8,27086,69995,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Unleaded,2020,6.5,31055,40990,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,4WD,Diesel,2017,9.5,250251,68950,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2020,7.3,33326,29990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,AWD,Hybrid,2017,1.7,32228,42990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Premium,2017,5.5,104135,23980,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,AWD,Diesel,2017,6.2,128155,25990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,AWD,Diesel,2018,6.2,101300,29980,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,AWD,Hybrid,2021,5.6,51005,78888,SUV, 5 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2016,7.4,103328,22888,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2020,6.5,121923,35990,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2017,7.4,128420,25990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2019,6.8,105308,28790,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2019,7.6,60361,23911,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2019,7.6,51795,24990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2020,7.2,49659,29975,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,4WD,Diesel,2019,8,91658,63380,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Hybrid,2022,4.7,52640,56988,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Unleaded,2015,8.5,128739,28990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2013,6.6,106733,18990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2015,8,275952,24990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2013,9,218288,22999,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,AWD,Unleaded,2018,9.5,50657,44990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2020,7.6,48953,25990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2022,4,6829,42999,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Hybrid,2020,4.7,20763,57990,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,AWD,Unleaded,2021,8.1,20271,56990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2020,7.9,86655,32490,SUV, 4 Doors, 5 Seats
Toyota,USED,Manual,4WD,Diesel,2021,10.7,14552,85990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2022,5.6,5546,82990,SUV, 5 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2019,7.6,63197,26888,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2022,6,8492,39990,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2019,7.3,60972,28990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2022,4.8,15564,63888,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2015,6.6,138682,19950,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2017,6.6,61512,25990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,4WD,Diesel,2020,9.5,33299,127992,SUV, 4 Doors, 8 Seats
Toyota,USED,Automatic,Front,Hybrid,2022,3.8,22714,38990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,4WD,Diesel,2016,9.5,344782,59990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Unleaded,2019,9.1,69550,49990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Unleaded,2019,9.1,64766,49990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Hybrid,2021,4.3,33672,46990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Premium,2017,6.5,76211,29490,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2015,7.4,104319,25990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Hybrid,2019,4.7,54950,42990,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Manual,Front,Unleaded,2013,7.7,37398,19990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Premium,2019,5.5,57413,27990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Premium,2017,6.4,75482,25990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2020,4.8,42998,53888,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,Front,Premium,2018,5.5,66948,29888,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2014,5.8,166149,15888,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,AWD,Diesel,2016,5.8,138086,29995,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2019,7.6,74932,24950,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2021,7.2,44568,29990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Hybrid,2021,4.3,34779,46990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2021,7.6,44645,28990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,4WD,Diesel,2020,8,125247,69990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Unleaded,2020,5.4,28947,33490,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2021,7.2,47097,29990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,AWD,Hybrid,2021,5.6,48832,64990,SUV, 5 Doors, 7 Seats
Toyota,USED,Automatic,Front,Unleaded,2020,6.5,66795,45990,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2019,4.8,66228,44990,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Unleaded,2017,8.5,134809,25990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2020,7.3,59996,29990,SUV, 4 Doors, 5 Seats
